Codigo;Articulo;Costo Inicial;Moneda;Desc. 1%;Desc. 2%;Desc. 3%;Costo Final
WE6419;LLAVE T WEMBLEY 15MM S.LARGA*;5142.64;ARS;0.00;0.00;0.00;5142.64
WE6420;LLAVE T WEMBLEY 17MM S.LARGA*;5142.64;ARS;0.00;0.00;0.00;5142.64
WE6421;LLAVE T WEMBLEY 19MM S.LARGA*;5142.64;ARS;0.00;0.00;0.00;5142.64
WE6619;LLAVE T WEMBLEY 6MM S.LARGA*;3589.71;ARS;0.00;0.00;0.00;3589.71
WE6620;LLAVE T WEMBLEY 7MM S.LARGA*;3589.71;ARS;0.00;0.00;0.00;3589.71
WE6412;LLAVE T WEMBLEY 8MM S.LARGA*;3589.71;ARS;0.00;0.00;0.00;3589.71
WE6413;LLAVE T WEMBLEY 9MM S.LARGA*;3589.71;ARS;0.00;0.00;0.00;3589.71
AI0063;LUBRICADOR ACEITE AMX (AA-3040)*;4541.58;ARS;0.00;0.00;0.00;4541.58
PN0322;LUBRICANTE MULTIUSO 290Gr 440cc PNT*;2862.93;ARS;0.00;0.00;0.00;2862.93
WE2692;MANDRIL WEMBLEY  16MM CONO BIG 2692*;10845.16;ARS;0.00;0.00;0.00;10845.16
WE2646;MANIJA P/ MACHO CRIQUE Nº1  WEMBLEY;10037.50;ARS;0.00;0.00;0.00;10037.50
WE2647;MANIJA P/MACHO CRIQUE Nº2 WEMBLEY 2647*;12753.65;ARS;0.00;0.00;0.00;12753.65
W2641;MANIJA P/MACHO N*0 WEMBLEY 1-8*;3660.98;ARS;0.00;0.00;0.00;3660.98
WE2643;MANIJA P/MACHO N°1 1/2 WEMB.1-12 CD2643*;4192.36;ARS;0.00;0.00;0.00;4192.36
WE2642;MANIJA P/MACHO N°1 WEMBLEY 1-10 CD.2642*;4073.56;ARS;0.00;0.00;0.00;4073.56
WE2644;MANIJA P/MACHO N°2 WEMBLEY 4-12 CD.2644*;8502.70;ARS;0.00;0.00;0.00;8502.70
WE2645;MANIJA P/MACHO N°3 WEMBLEY 5-20 CD.2645*;16886.61;ARS;0.00;0.00;0.00;16886.61
AL0034;MARTILLO ALIGAS COBRE P/SOLDADOR*;4244.61;ARS;0.00;0.00;0.00;4244.61
AI0019;MARTILLO CINCELADOR C/4 PTAS AT-2020*;30654.69;ARS;0.00;0.00;0.00;30654.69
EX5027;MARTILLO COBRE MC27 EXTRAPOL*;0.00;ARS;0.00;0.00;0.00;0.00
EX5035;MARTILLO COBRE MC35 EXTRAPOL*;0.00;ARS;0.00;0.00;0.00;0.00
EX5040;MARTILLO COBRE MC40 EXTRAPOL*;0.00;ARS;0.00;0.00;0.00;0.00
EX5127;MARTILLO COBRE REP.RC27 EXTRAPOL*;17066.37;ARS;0.00;0.00;0.00;17066.37
EX5135;MARTILLO COBRE REP.RC35 EXTRAPOL*;30881.97;ARS;0.00;0.00;0.00;30881.97
EX5140;MARTILLO COBRE REP.RC40 EXTRAPOL*;48219.19;ARS;0.00;0.00;0.00;48219.19
EX6027;MARTILLO POLIAMIDA MP27 EXTRAPOL*;19775.49;ARS;0.00;0.00;0.00;19775.49
EX6035;MARTILLO POLIAMIDA MP35 EXTRAPOL*;22173.38;ARS;0.00;0.00;0.00;22173.38
EX6040;MARTILLO POLIAMIDA MP40 EXTRAPOL*;27716.72;ARS;0.00;0.00;0.00;27716.72
EX6127;MARTILLO POLIAMIDA REP.RP27 EXTRAPOL*;2356.71;ARS;0.00;0.00;0.00;2356.71
EX6135;MARTILLO POLIAMIDA REP.RP35 EXTRAPOL*;2843.74;ARS;0.00;0.00;0.00;2843.74
EX6140;MARTILLO POLIAMIDA REP.RP40 EXTRAPOL*;3017.16;ARS;0.00;0.00;0.00;3017.16
AI0101;MINICOMPRESOR A PISTON AMX AS-06K*;110697.43;ARS;0.00;0.00;0.00;110697.43
EX0907;PASACABLE PLASTICO/ACERO  7MT EXTRAPOL*;22037.17;ARS;0.00;0.00;0.00;22037.17
EX0910;PASACABLE PLASTICO/ACERO 10MT EXTRAPOL*;27076.06;ARS;0.00;0.00;0.00;27076.06
EX0915;PASACABLE PLASTICO/ACERO 15MT EXTRAPOL*;35154.31;ARS;0.00;0.00;0.00;35154.31
EX0925;PASACABLE PLASTICO/ACERO 25MTS EXTRAPOL*;51553.11;ARS;0.00;0.00;0.00;51553.11
WE0310;PESTAÑADORA WEMBLEY 3/16 A 5/8 ;13241.66;ARS;0.00;0.00;0.00;13241.66
WE0021;PINZA MAZA 300A WEMBLEY*;4334.10;ARS;0.00;0.00;0.00;4334.10
AS0001;PINZA MAZA ASTEN REFORZ 600AMP~ AS0001;45803.88;ARS;0.00;0.00;0.00;45803.88
AS0012;PINZA PORTAELEC.ASTEN 200AMP AS0012*;21889.08;ARS;0.00;0.00;0.00;21889.08
AS0005;PINZA PORTAELEC.ASTEN 300AMP PROFESIONA*;0.00;ARS;0.00;0.00;0.00;0.00
AS0006;PINZA PORTAELEC.ASTEN 500AMP PROFESIONA*;39880.42;ARS;0.00;0.00;0.00;39880.42
AS0003;PINZA PORTAELEC.ASTEN 600AMP PESADA*;60236.37;ARS;0.00;0.00;0.00;60236.37
